Item,Price
Tomatoes Roma (lb),1.79
Red Potato,1.99
White Potato,1.29
Brinjal,2.99
Eggplant Long,2.99
Okra,3.29
Tindora (Dondakaya),4.1
Arvi (Chamagadda),2.29
Cabbage,0.99
Cauliflower per piece,3.2
Thai Chilli,4.19
Long Chilli,5.19
Dosakaya,2.29
Snake Gourd (Potalakaya),2.99
Bottle Gourd (Sorakaya),2.49
Ridge Gourd (Beerakaya),3.29
Bitter Gourd (Kakarkaya),2.69
Lemon per piece,0.69
Lime per piece,0.49
Cilantro per bunch,0.69
Mint per bunch,1
Curry Leaves per pack,2.19
Paan Leaves per pack,1.99
Methi per bunch,3.1
Banana Burro per lb,1.99
Gauva per lb,4.19
Promogranate per piece,2.99
Chikko (Sapota) per lb,8.2
Drumsticks for 4 pieces,2.19
Red Peppers per lb,2.99
Green Peppers per lb,2.99
Carrots per lb,1.49
Sweet Potato per lb,2.69
Yucca per lb,1.99
Suran per lb,3.99
Fresh Peanuts with shell per lb,4.19
Roasted Peanuts with shell per lb,4.29
Radish(Muli) per lb,1.99
Wintermelon per lb ,1.99
Coconut Green per each ,3.19
Coconut Brown per each ,2.49
Straw Coconut per each ,3.19
Garlic Peeled per lb,6.29
Garlic (5 pack),4.29
Ginger per lb,3.39
Red Onions per lb ,1.69
Yellow Onions per lb,1.39
White Onions per lb,1.69
Pearl Onion per lb,3.39
Sugarcane Red per Stick,3.59
Sugarcane Green per stick,3.09
Fresh Tamarind per lb ,3.29
Thumbsup per each ,2.49
Limeca per each,1.79
Fanta per each ,1.79
Frooti per each ,1
Mtr Badam Milk 180ml per each ,3.39
Amul Cool Elachi Milk 180ml per each ,3.49
Amul Cool Rose Milk 180ml per each ,3.49
Amul Cool Kesar Milk 180ml per each,3.49
Amul Masti Spiced Butter milk per each ,3.49
Gopi Yogurt 2lb,4.19
Gopi Yogurt 4lb,7.29
Gopi Yogurt Low fat 2lb,4.29
Gopi Yogurt low fat 4lb ,7.39
Desi yogurt 2lb,4.99
Desi yogurt 4lb,8.49
Gopi Paneer 14oz,7.19
Gopi Paneer 2.5lb,17.39
Karoun yogurt drink Mint 1 gal,10.29
Karoun yogurt drink Mint 1/2 gal,6.29
Karoun yogurt drink Mint 1 gal,10.29
Karoun yogurt drink original 1/2 gal,6.29
Dosa Batter,7.29
Idly Batter,7.29
Deccan 20lb sona masoori,26.49
Laxmi Sonamasoori 20lb,26.49
Amma Sonamasoori 20lb,20.99
Bansi Sonamasoori 20lb,23.49
Deep idli Rice 20lb,23.49
Laxmi Idli Rice 20lb,25.49
Laxmi Ponni Boiled Rice 20lb,25.49
Royal Sella Basmati 10lb,15.99
Deccan 10lb brown Sonamasoori,15.99
Royal Basmati Sella 10lb,15.99
Daawat blue Basmati 10lb,17.99
Daawat extra long grain Basmati 10lb,17.99
Daawat Brown Basmati 10lb,17.99
India gate basmati 10lb,17.99
Deep 10lb basmati,15.99
Deep 10lb extra long basmati,15.99
Laxmi idli Rice 10lb,14.99
Laxmi Ponni Boiled Rice 10lb,15.99
Laxmi chakki Atta 20lb,20.49
Laxmi chakki Atta 10lb,8.99
Laxmi Multigrain Atta 10lb,12.99
Aashirvaad Multigrain Atta 10lb,14.99
Aashirvaad Multigrain Atta 20lb,28.49
Sujata Chakki Atta 20lb,26.49
Sujata Chakki Atta 10lb,14.99
Sujata Multigrain Atta 20lb,26.49
Sujata Multigrain Atta 10lb,14.99
Golden temple Atta 5lb,7.99
Panipuri 45pc 190gms,7.29
Panipuri 290gms ,11.99
Maggie Masala 70gms,0.99
Maggie Masala 280gms,2.39
Maggie Masala 560gms ,4.29
Chings Singapore Noodles 300gms ,3.29
Chings Manchurian noodles 300gms ,3.29
Chings whole wheat hakka noodles 600gms ,7.39
Chings hakka veg noodles 600gms ,7.29
laxmi think poha 4lb,6.29
Laxmi mamra 400gms ,5.39
Laxmi Phool Makhana 7oz,7.39
